time,date,open,high,low,close,volume,trade_count
00:00:00+00:00,2021-07-15,269.83,284.0,265.67,270.75,1638.7568,708.0
00:00:00+00:00,2021-07-16,271.03,279.56,253.07,253.99,2110.7159,860.0
00:00:00+00:00,2021-07-17,252.57,258.5,246.06,253.64,763.8869,360.0
00:00:00+00:00,2021-07-18,253.3,267.32,251.09,256.32,1201.7158,511.0
00:00:00+00:00,2021-07-19,254.06,255.21,233.42,237.77,3001.3398,611.0
00:00:00+00:00,2021-07-20,239.09,241.89,212.94,222.86,2633.6862,632.0
00:00:00+00:00,2021-07-21,221.22,263.49,217.34,258.39,3084.3014,984.0
00:00:00+00:00,2021-07-22,259.43,280.43,257.03,278.83,3281.1996,1214.0
00:00:00+00:00,2021-07-23,279.0,292.87,268.91,289.45,2842.0617,1204.0
00:00:00+00:00,2021-07-24,289.81,298.97,281.31,287.97,2165.9171,1062.0
00:00:00+00:00,2021-07-25,288.35,292.65,272.21,288.27,1072.3985,769.0
00:00:00+00:00,2021-07-26,286.9,335.73,286.22,304.78,3176.0291,2671.0
00:00:00+00:00,2021-07-27,302.75,312.51,284.48,299.91,2599.9513,1186.0
00:00:00+00:00,2021-07-28,299.91,308.85,292.34,297.27,2462.4522,1077.0
00:00:00+00:00,2021-07-29,298.36,315.62,293.28,311.47,2031.554,1047.0
00:00:00+00:00,2021-07-30,313.12,323.75,300.19,320.73,2120.291,1341.0
00:00:00+00:00,2021-07-31,321.1,333.0,313.16,330.3,1900.5839,1313.0
00:00:00+00:00,2021-08-01,330.45,339.66,314.19,317.13,2302.0268,1599.0
00:00:00+00:00,2021-08-02,318.81,328.74,309.56,320.86,1170.548,868.0
00:00:00+00:00,2021-08-03,320.69,323.89,302.26,307.47,2172.0943,917.0
00:00:00+00:00,2021-08-04,307.47,343.0,300.35,339.07,4123.8093,2222.0
00:00:00+00:00,2021-08-05,338.74,383.0,337.3,373.51,9725.2569,4784.0
00:00:00+00:00,2021-08-06,373.37,379.49,358.01,370.09,2609.6967,1732.0
00:00:00+00:00,2021-08-07,369.81,399.4,365.42,384.43,2725.0118,2581.0
00:00:00+00:00,2021-08-08,385.26,389.81,352.31,362.01,1397.5119,1533.0
00:00:00+00:00,2021-08-09,361.58,384.8,347.55,375.62,2049.3693,2500.0
00:00:00+00:00,2021-08-10,374.41,400.0,368.51,383.16,4921.6547,3194.0
00:00:00+00:00,2021-08-11,383.83,420.0,382.72,404.24,7310.9411,4984.0
00:00:00+00:00,2021-08-12,402.43,417.99,375.91,392.52,3892.8913,2936.0
00:00:00+00:00,2021-08-13,392.52,428.34,388.93,428.24,8501.6403,4584.0
00:00:00+00:00,2021-08-14,428.24,428.4,404.89,415.37,3056.267,2962.0
00:00:00+00:00,2021-08-15,414.46,416.53,391.83,410.47,3349.0991,2437.0
00:00:00+00:00,2021-08-16,411.5,446.97,408.75,413.94,10808.6477,6285.0
00:00:00+00:00,2021-08-17,412.2,448.37,380.47,381.57,6803.4302,5312.0
00:00:00+00:00,2021-08-18,381.0,397.86,361.81,380.47,4732.0187,3624.0
00:00:00+00:00,2021-08-19,381.59,405.36,371.09,405.04,3245.9894,2508.0
00:00:00+00:00,2021-08-20,405.36,420.99,403.63,408.88,3499.4708,3165.0
00:00:00+00:00,2021-08-21,410.17,416.06,393.16,400.67,2536.5184,2357.0
00:00:00+00:00,2021-08-22,402.39,408.82,386.17,403.03,2715.2162,1982.0
00:00:00+00:00,2021-08-23,400.82,415.35,399.85,408.36,3710.2564,3452.0
00:00:00+00:00,2021-08-24,408.64,414.16,370.0,377.91,5950.3536,3794.0
00:00:00+00:00,2021-08-25,378.16,386.29,363.79,384.07,3684.3414,1710.0
00:00:00+00:00,2021-08-26,384.25,388.77,340.76,350.2,5335.8634,2503.0
00:00:00+00:00,2021-08-27,351.0,375.29,344.14,372.31,3073.2748,1754.0
00:00:00+00:00,2021-08-28,373.66,375.78,362.22,367.2,2528.9129,1103.0
00:00:00+00:00,2021-08-29,367.98,377.88,353.94,365.77,1909.3402,1417.0
00:00:00+00:00,2021-08-30,364.07,376.74,346.23,357.65,3161.8789,1814.0
00:00:00+00:00,2021-08-31,357.88,397.17,350.69,392.21,6056.452,4223.0
00:00:00+00:00,2021-09-01,391.2,414.3,382.0,414.09,9559.1069,5229.0
00:00:00+00:00,2021-09-02,412.89,414.99,399.04,399.47,3586.2131,2219.0
00:00:00+00:00,2021-09-03,400.03,407.92,387.82,395.12,4589.7736,2598.0
00:00:00+00:00,2021-09-04,394.33,406.95,390.86,398.23,3916.7844,1879.0
00:00:00+00:00,2021-09-05,400.1,425.39,394.53,417.59,5042.1706,3982.0
00:00:00+00:00,2021-09-06,416.71,425.02,395.0,408.54,4614.472,3134.0
00:00:00+00:00,2021-09-07,408.94,409.27,303.0,346.55,22117.4597,8398.0
00:00:00+00:00,2021-09-08,346.92,353.54,312.33,329.26,4976.1368,4504.0
00:00:00+00:00,2021-09-09,330.48,350.7,325.01,330.34,6821.0034,4731.0
00:00:00+00:00,2021-09-10,330.34,340.22,304.34,312.43,6257.2283,2578.0
00:00:00+00:00,2021-09-11,312.92,340.26,311.04,328.66,4350.1738,1604.0
00:00:00+00:00,2021-09-12,328.68,348.46,322.23,333.81,2734.4104,1772.0
00:00:00+00:00,2021-09-13,333.61,337.36,303.38,330.11,3904.968,2332.0
00:00:00+00:00,2021-09-14,330.46,390.53,327.64,383.71,14774.3902,5720.0
00:00:00+00:00,2021-09-15,385.74,417.14,376.81,414.94,10543.7322,5589.0
00:00:00+00:00,2021-09-16,414.91,415.79,371.0,384.61,7669.9178,3428.0
00:00:00+00:00,2021-09-17,384.0,389.78,350.01,353.99,3261.0657,1544.0
00:00:00+00:00,2021-09-18,353.99,368.99,347.33,355.84,2417.5395,1024.0
00:00:00+00:00,2021-09-19,355.5,357.79,335.23,339.63,1938.3031,934.0
00:00:00+00:00,2021-09-20,339.89,340.94,287.45,290.83,6636.8276,2580.0
00:00:00+00:00,2021-09-21,290.68,306.9,260.01,271.38,4824.654,1787.0
00:00:00+00:00,2021-09-22,271.93,303.36,268.87,302.45,2762.2063,923.0
00:00:00+00:00,2021-09-23,300.48,309.41,294.46,308.7,2798.2521,1060.0
00:00:00+00:00,2021-09-24,309.41,311.94,262.15,281.34,2931.069,2691.0
00:00:00+00:00,2021-09-25,281.44,283.93,268.26,274.41,2066.2288,1251.0
00:00:00+00:00,2021-09-26,274.2,300.71,252.4,294.02,6062.2481,3608.0
00:00:00+00:00,2021-09-27,293.16,309.34,273.1,273.1,2776.5652,1802.0
00:00:00+00:00,2021-09-28,274.07,277.96,259.47,260.33,3881.0355,1604.0
00:00:00+00:00,2021-09-29,261.4,277.49,259.28,265.31,2798.2901,1302.0
00:00:00+00:00,2021-09-30,264.77,281.22,263.81,276.03,8292.4849,2733.0
00:00:00+00:00,2021-10-01,276.61,304.13,271.48,302.54,3074.551,2542.0
00:00:00+00:00,2021-10-02,302.07,323.69,297.32,314.58,2367.7399,2363.0
00:00:00+00:00,2021-10-03,313.5,323.71,308.45,310.94,2676.3518,1914.0
00:00:00+00:00,2021-10-04,310.37,311.53,291.33,300.8,4285.5237,2144.0
00:00:00+00:00,2021-10-05,300.84,310.05,296.44,307.13,3703.4147,1657.0
00:00:00+00:00,2021-10-06,308.15,318.03,284.77,311.71,4987.3724,3313.0
00:00:00+00:00,2021-10-07,311.16,313.73,299.35,305.8,2575.0565,2000.0
00:00:00+00:00,2021-10-08,306.18,324.45,303.38,307.51,2874.7947,2783.0
00:00:00+00:00,2021-10-09,307.75,313.55,304.28,307.39,1076.6232,826.0
00:00:00+00:00,2021-10-10,306.05,308.16,287.0,288.64,1757.3979,1431.0
00:00:00+00:00,2021-10-11,287.83,301.86,283.59,290.81,2118.7361,1352.0
00:00:00+00:00,2021-10-12,290.72,290.72,271.11,282.65,2672.4588,1707.0
00:00:00+00:00,2021-10-13,283.63,302.98,282.02,297.33,4567.2132,2694.0
00:00:00+00:00,2021-10-14,297.91,310.74,293.44,302.96,4238.9327,2474.0
00:00:00+00:00,2021-10-15,303.8,305.2,292.62,301.39,3383.8552,1804.0
00:00:00+00:00,2021-10-16,301.76,316.4,299.62,304.11,3249.3087,2172.0
00:00:00+00:00,2021-10-17,304.86,320.53,292.4,304.98,5778.1642,2545.0
00:00:00+00:00,2021-10-18,304.5,308.33,289.91,294.31,3831.3431,1597.0
00:00:00+00:00,2021-10-19,295.14,304.37,293.33,303.61,3677.583,1674.0
00:00:00+00:00,2021-10-20,303.88,317.48,296.68,315.69,4303.181,2369.0
00:00:00+00:00,2021-10-21,317.11,337.91,310.65,315.13,6299.5025,5533.0
00:00:00+00:00,2021-10-22,314.88,326.9,305.75,310.0,2046.4969,2559.0
00:00:00+00:00,2021-10-23,309.65,324.16,307.27,324.16,1567.7358,1583.0
00:00:00+00:00,2021-10-24,324.17,325.27,300.13,307.25,1916.4022,2594.0
00:00:00+00:00,2021-10-25,307.04,316.64,307.04,312.57,1925.2469,2869.0
00:00:00+00:00,2021-10-26,313.03,345.49,312.27,329.23,6149.2868,5669.0
00:00:00+00:00,2021-10-27,328.88,455.0,323.09,324.77,26044.6311,26452.0
00:00:00+00:00,2021-10-28,324.61,349.8,316.62,339.29,10840.6163,7584.0
00:00:00+00:00,2021-10-29,339.19,347.93,324.76,328.74,3428.9147,3515.0
00:00:00+00:00,2021-10-30,328.3,328.74,312.71,318.99,2484.3923,2012.0
00:00:00+00:00,2021-10-31,318.99,323.14,301.11,314.06,3990.503,2286.0
00:00:00+00:00,2021-11-01,313.85,324.57,302.19,324.34,3696.9785,4534.0
00:00:00+00:00,2021-11-02,323.99,328.5,317.94,324.49,2065.4453,2748.0
00:00:00+00:00,2021-11-03,325.09,326.21,310.71,325.11,6466.5444,3781.0
00:00:00+00:00,2021-11-04,325.82,335.91,313.25,333.05,4297.8751,3860.0
00:00:00+00:00,2021-11-05,333.0,346.67,324.23,327.7,3845.2388,3873.0
00:00:00+00:00,2021-11-06,325.92,327.69,306.39,317.83,3373.1318,2028.0
00:00:00+00:00,2021-11-07,317.83,323.96,316.67,320.23,1807.6044,1161.0
00:00:00+00:00,2021-11-08,320.48,335.31,319.08,332.32,3988.5168,2692.0
00:00:00+00:00,2021-11-09,332.69,351.5,326.91,336.04,7041.2174,5519.0
00:00:00+00:00,2021-11-10,336.33,346.3,296.07,313.15,7077.2616,5868.0
00:00:00+00:00,2021-11-11,312.87,319.23,307.27,312.2,2789.4341,1564.0
00:00:00+00:00,2021-11-12,311.78,313.93,296.52,309.4,2740.4757,2107.0
00:00:00+00:00,2021-11-13,308.37,314.44,303.06,312.35,3387.5632,1561.0
00:00:00+00:00,2021-11-14,312.64,317.47,309.47,315.09,2129.4584,1227.0
00:00:00+00:00,2021-11-15,315.81,317.19,299.2,300.97,2900.915,1465.0
00:00:00+00:00,2021-11-16,301.45,301.45,264.01,278.18,4653.1864,3963.0
00:00:00+00:00,2021-11-17,278.14,287.7,267.77,283.62,1868.0182,1776.0
00:00:00+00:00,2021-11-18,284.73,288.58,255.79,262.97,3117.5141,1950.0
00:00:00+00:00,2021-11-19,263.6,280.92,257.75,279.42,1682.859,1230.0
00:00:00+00:00,2021-11-20,279.69,281.06,267.6,274.19,1302.5428,854.0
00:00:00+00:00,2021-11-21,274.06,274.19,264.53,267.47,2957.6801,1165.0
00:00:00+00:00,2021-11-22,266.01,268.92,256.83,263.87,5509.0049,1412.0
00:00:00+00:00,2021-11-23,263.82,277.57,261.64,269.91,4573.2308,1948.0
00:00:00+00:00,2021-11-24,270.27,272.28,251.35,254.69,3255.7819,1242.0
00:00:00+00:00,2021-11-25,253.82,264.31,252.64,263.14,1750.8797,873.0
00:00:00+00:00,2021-11-26,263.5,263.5,225.6,232.38,3876.0219,2040.0
00:00:00+00:00,2021-11-27,233.09,243.51,230.16,233.07,1541.3366,660.0
00:00:00+00:00,2021-11-28,232.98,239.15,218.91,239.15,2167.0111,1062.0
00:00:00+00:00,2021-11-29,238.57,251.38,233.63,250.35,1681.5444,1032.0
00:00:00+00:00,2021-11-30,250.99,264.41,244.53,256.62,4376.0811,2338.0
00:00:00+00:00,2021-12-01,256.38,269.14,249.48,251.03,2528.4064,1758.0
00:00:00+00:00,2021-12-02,250.8,250.8,240.5,244.21,3060.8357,1179.0
00:00:00+00:00,2021-12-03,244.89,246.09,218.24,226.0,3242.5153,1369.0
00:00:00+00:00,2021-12-04,226.0,226.3,162.5,202.95,9863.2995,4670.0
00:00:00+00:00,2021-12-05,203.28,206.28,187.18,191.66,5916.7946,1433.0
00:00:00+00:00,2021-12-06,191.06,191.06,168.38,185.12,6915.1533,2019.0
00:00:00+00:00,2021-12-07,185.22,197.39,180.82,187.61,2419.8876,1303.0
00:00:00+00:00,2021-12-08,187.21,203.68,179.62,203.68,2753.5841,1374.0
00:00:00+00:00,2021-12-09,203.68,203.83,176.66,176.78,2417.489,1081.0
00:00:00+00:00,2021-12-10,177.11,181.7,166.63,167.12,2166.9976,994.0
00:00:00+00:00,2021-12-11,166.7,181.23,162.85,181.23,1403.44,618.0
00:00:00+00:00,2021-12-12,181.33,182.37,175.86,179.79,809.2525,425.0
00:00:00+00:00,2021-12-13,180.06,180.8,157.7,162.57,2620.6605,1096.0
00:00:00+00:00,2021-12-14,162.57,170.27,158.49,168.76,1802.4984,642.0
00:00:00+00:00,2021-12-15,169.54,175.84,159.05,172.87,2801.1278,1090.0
00:00:00+00:00,2021-12-16,173.08,181.11,172.41,173.52,2071.8175,763.0
00:00:00+00:00,2021-12-17,174.01,188.68,162.0,186.88,2931.8309,1340.0
00:00:00+00:00,2021-12-18,187.54,202.84,183.0,193.09,8752.8469,3241.0
00:00:00+00:00,2021-12-19,193.02,193.02,182.33,182.99,4023.2209,1029.0
00:00:00+00:00,2021-12-20,183.31,186.41,167.3,181.04,3304.5674,1106.0
00:00:00+00:00,2021-12-21,180.91,186.77,178.94,186.2,2056.6506,821.0
00:00:00+00:00,2021-12-22,186.48,216.37,185.66,206.83,5193.77,2637.0
00:00:00+00:00,2021-12-23,206.36,248.44,204.0,247.15,11147.993,5165.0
00:00:00+00:00,2021-12-24,246.88,282.39,242.98,269.94,9020.1192,5421.0
00:00:00+00:00,2021-12-25,270.59,280.64,257.34,264.35,5143.9411,2552.0
00:00:00+00:00,2021-12-26,264.14,277.46,250.36,268.13,5012.4872,2515.0
00:00:00+00:00,2021-12-27,268.08,293.3,264.08,276.37,5916.9481,4034.0
00:00:00+00:00,2021-12-28,277.91,296.63,252.4,252.65,9962.8918,7328.0
00:00:00+00:00,2021-12-29,252.63,259.4,235.0,235.48,5498.5663,2191.0
00:00:00+00:00,2021-12-30,236.78,265.82,231.12,262.3,5547.2364,2512.0
00:00:00+00:00,2021-12-31,262.92,274.86,249.18,254.13,4718.3671,3225.0
00:00:00+00:00,2022-01-01,254.31,266.75,250.77,266.75,2979.5211,1769.0
00:00:00+00:00,2022-01-02,266.67,269.1,252.99,265.31,3348.9135,1866.0
00:00:00+00:00,2022-01-03,265.34,286.09,262.88,266.1,4998.9528,3754.0
00:00:00+00:00,2022-01-04,267.28,269.4,249.74,252.75,4042.6682,2082.0
00:00:00+00:00,2022-01-05,252.0,259.28,214.54,229.77,5444.3229,2887.0
00:00:00+00:00,2022-01-06,230.73,232.65,215.69,221.5,4229.3106,1880.0
00:00:00+00:00,2022-01-07,221.28,222.01,199.9,211.43,8626.4879,2713.0
00:00:00+00:00,2022-01-08,212.01,230.96,200.79,212.21,7223.4934,2470.0
00:00:00+00:00,2022-01-09,212.26,219.16,207.55,210.14,2028.0725,1114.0
00:00:00+00:00,2022-01-10,209.04,213.77,188.08,200.19,4627.0735,1878.0
00:00:00+00:00,2022-01-11,200.3,217.01,196.94,213.24,2374.5595,1240.0
00:00:00+00:00,2022-01-12,214.15,222.7,210.9,218.57,4290.0482,1241.0
00:00:00+00:00,2022-01-13,218.93,222.35,207.44,208.63,4108.6676,1631.0
00:00:00+00:00,2022-01-14,208.46,226.87,204.66,223.97,3273.4542,1857.0
00:00:00+00:00,2022-01-15,224.69,243.94,222.36,238.56,6402.1526,3292.0
00:00:00+00:00,2022-01-16,238.75,245.32,230.56,241.62,3753.6854,2225.0
00:00:00+00:00,2022-01-17,242.94,244.36,221.49,226.69,4548.8259,2183.0
00:00:00+00:00,2022-01-18,227.06,240.58,222.98,232.82,7336.0558,3847.0
