Open time,Open,High,Low,Close,Volume
2021-07-15 00:00:00.000000 UTC,269.8300000000,284.0000000000,265.6700000000,270.7500000000,1638.7568000000
2021-07-16 00:00:00.000000 UTC,271.0300000000,279.5600000000,253.0700000000,253.9900000000,2110.7159000000
2021-07-17 00:00:00.000000 UTC,252.5700000000,258.5000000000,246.0600000000,253.6400000000,763.8869000000
2021-07-18 00:00:00.000000 UTC,253.3000000000,267.3200000000,251.0900000000,256.3200000000,1201.7158000000
2021-07-19 00:00:00.000000 UTC,254.0600000000,255.2100000000,233.4200000000,237.7700000000,3001.3398000000
2021-07-20 00:00:00.000000 UTC,239.0900000000,241.8900000000,212.9400000000,222.8600000000,2633.6862000000
2021-07-21 00:00:00.000000 UTC,221.2200000000,263.4900000000,217.3400000000,258.3900000000,3084.3014000000
2021-07-22 00:00:00.000000 UTC,259.4300000000,280.4300000000,257.0300000000,278.8300000000,3281.1996000000
2021-07-23 00:00:00.000000 UTC,279.0000000000,292.8700000000,268.9100000000,289.4500000000,2842.0617000000
2021-07-24 00:00:00.000000 UTC,289.8100000000,298.9700000000,281.3100000000,287.9700000000,2165.9171000000
2021-07-25 00:00:00.000000 UTC,288.3500000000,292.6500000000,272.2100000000,288.2700000000,1072.3985000000
2021-07-26 00:00:00.000000 UTC,286.9000000000,335.7300000000,286.2200000000,304.7800000000,3176.0291000000
2021-07-27 00:00:00.000000 UTC,302.7500000000,312.5100000000,284.4800000000,299.9100000000,2599.9513000000
2021-07-28 00:00:00.000000 UTC,299.9100000000,308.8500000000,292.3400000000,297.2700000000,2462.4522000000
2021-07-29 00:00:00.000000 UTC,298.3600000000,315.6200000000,293.2800000000,311.4700000000,2031.5540000000
2021-07-30 00:00:00.000000 UTC,313.1200000000,323.7500000000,300.1900000000,320.7300000000,2120.2910000000
2021-07-31 00:00:00.000000 UTC,321.1000000000,333.0000000000,313.1600000000,330.3000000000,1900.5839000000
2021-08-01 00:00:00.000000 UTC,330.4500000000,339.6600000000,314.1900000000,317.1300000000,2302.0268000000
2021-08-02 00:00:00.000000 UTC,318.8100000000,328.7400000000,309.5600000000,320.8600000000,1170.5480000000
2021-08-03 00:00:00.000000 UTC,320.6900000000,323.8900000000,302.2600000000,307.4700000000,2172.0943000000
2021-08-04 00:00:00.000000 UTC,307.4700000000,343.0000000000,300.3500000000,339.0700000000,4123.8093000000
2021-08-05 00:00:00.000000 UTC,338.7400000000,383.0000000000,337.3000000000,373.5100000000,9725.2569000000
2021-08-06 00:00:00.000000 UTC,373.3700000000,379.4900000000,358.0100000000,370.0900000000,2609.6967000000
2021-08-07 00:00:00.000000 UTC,369.8100000000,399.4000000000,365.4200000000,384.4300000000,2725.0118000000
2021-08-08 00:00:00.000000 UTC,385.2600000000,389.8100000000,352.3100000000,362.0100000000,1397.5119000000
2021-08-09 00:00:00.000000 UTC,361.5800000000,384.8000000000,347.5500000000,375.6200000000,2049.3693000000
2021-08-10 00:00:00.000000 UTC,374.4100000000,400.0000000000,368.5100000000,383.1600000000,4921.6547000000
2021-08-11 00:00:00.000000 UTC,383.8300000000,420.0000000000,382.7200000000,404.2400000000,7310.9411000000
2021-08-12 00:00:00.000000 UTC,402.4300000000,417.9900000000,375.9100000000,392.5200000000,3892.8913000000
2021-08-13 00:00:00.000000 UTC,392.5200000000,428.3400000000,388.9300000000,428.2400000000,8501.6403000000
2021-08-14 00:00:00.000000 UTC,428.2400000000,428.4000000000,404.8900000000,415.3700000000,3056.2670000000
2021-08-15 00:00:00.000000 UTC,414.4600000000,416.5300000000,391.8300000000,410.4700000000,3349.0991000000
2021-08-16 00:00:00.000000 UTC,411.5000000000,446.9700000000,408.7500000000,413.9400000000,10808.6477000000
2021-08-17 00:00:00.000000 UTC,412.2000000000,448.3700000000,380.4700000000,381.5700000000,6803.4302000000
2021-08-18 00:00:00.000000 UTC,381.0000000000,397.8600000000,361.8100000000,380.4700000000,4732.0187000000
2021-08-19 00:00:00.000000 UTC,381.5900000000,405.3600000000,371.0900000000,405.0400000000,3245.9894000000
2021-08-20 00:00:00.000000 UTC,405.3600000000,420.9900000000,403.6300000000,408.8800000000,3499.4708000000
2021-08-21 00:00:00.000000 UTC,410.1700000000,416.0600000000,393.1600000000,400.6700000000,2536.5184000000
2021-08-22 00:00:00.000000 UTC,402.3900000000,408.8200000000,386.1700000000,403.0300000000,2715.2162000000
2021-08-23 00:00:00.000000 UTC,400.8200000000,415.3500000000,399.8500000000,408.3600000000,3710.2564000000
2021-08-24 00:00:00.000000 UTC,408.6400000000,414.1600000000,370.0000000000,377.9100000000,5950.3536000000
2021-08-25 00:00:00.000000 UTC,378.1600000000,386.2900000000,363.7900000000,384.0700000000,3684.3414000000
2021-08-26 00:00:00.000000 UTC,384.2500000000,388.7700000000,340.7600000000,350.2000000000,5335.8634000000
