Open time,Open,High,Low,Close,Volume
2021-01-01 00:00:00.000000 UTC,1.6162000000,1.8678000000,1.5759000000,1.8528000000,88049.6500000000
2021-01-02 00:00:00.000000 UTC,1.8369000000,2.0000000000,1.7175000000,1.7909000000,106847.3200000000
2021-01-03 00:00:00.000000 UTC,1.8143000000,2.3800000000,1.8027000000,2.1859000000,228059.6100000000
2021-01-04 00:00:00.000000 UTC,2.1938000000,2.4900000000,1.8870000000,2.4900000000,146676.5700000000
2021-01-05 00:00:00.000000 UTC,2.4852000000,2.5000000000,2.0743000000,2.1585000000,226222.8200000000
2021-01-06 00:00:00.000000 UTC,2.1722000000,2.1842000000,1.9430000000,1.9653000000,247919.5100000000
2021-01-07 00:00:00.000000 UTC,1.9653000000,2.6484000000,1.9653000000,2.3600000000,541234.1200000000
2021-01-08 00:00:00.000000 UTC,2.3876000000,3.8128000000,2.2100000000,3.2364000000,663744.0300000000
2021-01-09 00:00:00.000000 UTC,3.2311000000,3.6836000000,2.9380000000,3.3859000000,311973.8600000000
2021-01-10 00:00:00.000000 UTC,3.4047000000,3.7600000000,3.1761000000,3.4739000000,152584.9600000000
2021-01-11 00:00:00.000000 UTC,3.4262000000,3.5088000000,2.6457000000,3.1455000000,114525.4500000000
2021-01-12 00:00:00.000000 UTC,3.1456000000,3.9200000000,3.1373000000,3.9200000000,104827.8400000000
2021-01-13 00:00:00.000000 UTC,3.9200000000,5.9880000000,3.5482000000,3.8126000000,121755.9600000000
2021-01-14 00:00:00.000000 UTC,3.8126000000,4.2500000000,3.4693000000,3.6316000000,90332.5400000000
2021-01-15 00:00:00.000000 UTC,3.6060000000,3.9500000000,2.9826000000,3.2456000000,134307.9100000000
2021-01-16 00:00:00.000000 UTC,3.2783000000,3.6975000000,3.2734000000,3.4555000000,208509.9400000000
2021-01-17 00:00:00.000000 UTC,3.4242000000,4.0644000000,3.3306000000,3.8204000000,222191.4400000000
2021-01-18 00:00:00.000000 UTC,3.8362000000,4.1562000000,3.6842000000,3.8018000000,140976.3600000000
2021-01-19 00:00:00.000000 UTC,3.7988000000,4.0430000000,3.5666000000,3.6463000000,158482.3700000000
2021-01-20 00:00:00.000000 UTC,3.6437000000,3.7444000000,3.3514000000,3.7370000000,113296.7300000000
2021-01-21 00:00:00.000000 UTC,3.7169000000,3.7181000000,3.0000000000,3.0003000000,103022.9800000000
2021-01-22 00:00:00.000000 UTC,3.0003000000,3.5155000000,2.7123000000,3.3262000000,113560.7600000000
2021-01-23 00:00:00.000000 UTC,3.3475000000,3.6251000000,3.3103000000,3.5204000000,88669.6100000000
2021-01-24 00:00:00.000000 UTC,3.5152000000,3.8173000000,3.5000000000,3.6250000000,60080.6700000000
2021-01-25 00:00:00.000000 UTC,3.6250000000,3.9772000000,3.4494000000,3.7099000000,190142.0000000000
2021-01-26 00:00:00.000000 UTC,3.7100000000,4.1050000000,3.6634000000,4.0499000000,173959.8200000000
2021-01-27 00:00:00.000000 UTC,4.0499000000,4.0507000000,3.5256000000,3.7000000000,70858.3100000000
2021-01-28 00:00:00.000000 UTC,3.6999000000,3.9514000000,3.6176000000,3.8416000000,77594.7800000000
2021-01-29 00:00:00.000000 UTC,3.8268000000,3.8848000000,3.6500000000,3.8499000000,62314.9900000000
2021-01-30 00:00:00.000000 UTC,3.8499000000,4.3308000000,3.7853000000,4.2350000000,280650.5900000000
2021-01-31 00:00:00.000000 UTC,4.2431000000,4.7897000000,4.1640000000,4.2706000000,359542.3700000000
2021-02-01 00:00:00.000000 UTC,4.2685000000,4.6196000000,4.1217000000,4.6196000000,85403.4900000000
2021-02-02 00:00:00.000000 UTC,4.6269000000,5.4002000000,4.4764000000,5.2558000000,263444.8500000000
2021-02-03 00:00:00.000000 UTC,5.2558000000,5.7875000000,5.0641000000,5.7427000000,126073.3500000000
2021-02-04 00:00:00.000000 UTC,5.7510000000,6.5709000000,5.6148000000,6.4401000000,225371.0800000000
2021-02-05 00:00:00.000000 UTC,6.4400000000,7.1392000000,6.4400000000,6.6901000000,253692.9100000000
2021-02-06 00:00:00.000000 UTC,6.6901000000,6.8079000000,5.7600000000,6.1380000000,259211.5400000000
2021-02-07 00:00:00.000000 UTC,6.1112000000,6.9833000000,5.7539000000,6.6874000000,179584.2900000000
2021-02-08 00:00:00.000000 UTC,6.6956000000,8.3999000000,6.5051000000,7.8704000000,175574.5600000000
2021-02-09 00:00:00.000000 UTC,7.9004000000,9.0157000000,7.6101000000,7.8790000000,219467.5000000000
2021-02-10 00:00:00.000000 UTC,7.8287000000,9.0968000000,7.5900000000,9.0707000000,252285.8300000000
2021-02-11 00:00:00.000000 UTC,9.0861000000,9.9300000000,8.8084000000,9.2464000000,193297.8400000000
2021-02-12 00:00:00.000000 UTC,9.2744000000,9.9262000000,9.1257000000,9.2062000000,107047.4900000000
2021-02-13 00:00:00.000000 UTC,9.2478000000,9.5387000000,8.6800000000,8.7743000000,112970.2700000000
2021-02-14 00:00:00.000000 UTC,8.7938000000,9.3242000000,8.5507000000,8.7300000000,153073.4900000000
2021-02-15 00:00:00.000000 UTC,8.7353000000,9.3020000000,7.7000000000,8.8592000000,196779.0900000000
2021-02-16 00:00:00.000000 UTC,8.8426000000,9.0043000000,7.9610000000,8.2766000000,108279.5700000000
2021-02-17 00:00:00.000000 UTC,8.3238000000,8.4340000000,7.5000000000,8.2050000000,154796.6300000000
2021-02-18 00:00:00.000000 UTC,8.2477000000,9.2898000000,8.2405000000,8.9953000000,92717.5800000000
2021-02-19 00:00:00.000000 UTC,9.0051000000,11.8000000000,8.5387000000,11.5369000000,306596.6900000000
2021-02-20 00:00:00.000000 UTC,11.5369000000,12.6638000000,9.8300000000,10.0277000000,219579.9900000000
2021-02-21 00:00:00.000000 UTC,10.0277000000,11.8881000000,9.8579000000,11.1150000000,191055.0200000000
2021-02-22 00:00:00.000000 UTC,11.1150000000,14.9700000000,9.1947000000,14.4975000000,886502.3500000000
2021-02-23 00:00:00.000000 UTC,14.4975000000,16.0000000000,11.5979000000,15.2016000000,912499.3500000000
2021-02-24 00:00:00.000000 UTC,15.2390000000,18.1939000000,14.8139000000,17.2369000000,513408.5800000000
2021-02-25 00:00:00.000000 UTC,17.2369000000,17.7270000000,13.7647000000,13.7978000000,324293.6000000000
2021-02-26 00:00:00.000000 UTC,13.7978000000,15.5212000000,13.0901000000,13.5800000000,339781.6700000000
2021-02-27 00:00:00.000000 UTC,13.5800000000,14.6497000000,13.0000000000,13.1760000000,191690.3900000000
2021-02-28 00:00:00.000000 UTC,13.1759000000,15.0000000000,11.5200000000,13.3998000000,228489.9700000000
2021-03-01 00:00:00.000000 UTC,13.3998000000,18.5000000000,13.3998000000,14.9574000000,281625.5400000000
2021-03-02 00:00:00.000000 UTC,14.9606000000,17.0000000000,13.5000000000,13.9900000000,179849.7700000000
2021-03-03 00:00:00.000000 UTC,13.9900000000,14.8571000000,13.7767000000,14.1517000000,251237.1400000000
2021-03-04 00:00:00.000000 UTC,14.0801000000,14.2910000000,12.6892000000,13.0906000000,157849.6200000000
2021-03-05 00:00:00.000000 UTC,13.0901000000,13.0901000000,12.1495000000,12.5718000000,151456.4000000000
2021-03-06 00:00:00.000000 UTC,12.6037000000,13.3252000000,11.9000000000,13.0757000000,118578.3400000000
2021-03-07 00:00:00.000000 UTC,13.0880000000,14.0307000000,12.7070000000,13.8257000000,118553.9000000000
2021-03-08 00:00:00.000000 UTC,13.8500000000,13.9026000000,13.0527000000,13.6340000000,111037.2500000000
2021-03-09 00:00:00.000000 UTC,13.6340000000,15.0412000000,13.3305000000,14.8650000000,129977.7000000000
2021-03-10 00:00:00.000000 UTC,14.8650000000,15.2282000000,14.0444000000,14.2005000000,186354.3800000000
2021-03-11 00:00:00.000000 UTC,14.2005000000,16.3356000000,13.6770000000,16.0349000000,245607.9600000000
2021-03-12 00:00:00.000000 UTC,16.0794000000,16.5069000000,14.0900000000,14.5500000000,269579.4300000000
2021-03-13 00:00:00.000000 UTC,14.5688000000,15.4000000000,13.8990000000,15.2881000000,158936.2700000000
2021-03-14 00:00:00.000000 UTC,15.2837000000,15.3598000000,14.3681000000,14.4486000000,85578.0900000000
2021-03-15 00:00:00.000000 UTC,14.4852000000,14.8047000000,13.6689000000,14.1559000000,100422.3500000000
